dataset,hidden_channels,lr,dropout,epochs,hops,wd,Accuracy,std
citeseer,16,0.03,0.5,1000,4,0.0005,77.01,1.37
cora,16,0.01,0.5,1000,4,0.0005,85.65,1.34
citeseer,16,0.03,0.5,1000,4,0.001,77.28,1.15
texas,16,0.01,0.2,1000,4,0.0005,78.92,6.37
wisconsin,16,0.01,0.2,1000,4,0.0005,90.98,3.3
cora,16,0.01,0.5,1000,4,0.001,85.29,1.59
cornell,16,0.01,0.2,1000,4,0.0005,83.24,2.36
citeseer,16,0.001,0.2,1000,4,0.0005,77.2,1.33
cora,16,0.03,0.2,1000,4,0.0005,85.37,1.25
texas,16,0.01,0.2,1000,4,0.001,80.54,6.14
wisconsin,16,0.01,0.2,1000,4,0.001,92.16,3.28
cornell,16,0.01,0.2,1000,4,0.001,85.14,2.18
citeseer,16,0.001,0.2,1000,4,0.001,77.21,1.37
cora,16,0.03,0.2,1000,4,0.001,85.35,1.59
texas,16,0.01,0.3,1000,4,0.0005,78.11,5.33
wisconsin,16,0.01,0.3,1000,4,0.0005,90.39,3.09
cornell,16,0.01,0.3,1000,4,0.0005,81.35,2.82
citeseer,16,0.001,0.3,1000,4,0.0005,77.14,1.34
cora,16,0.03,0.3,1000,4,0.0005,85.65,1.32
texas,16,0.01,0.3,1000,4,0.001,78.38,6.51
wisconsin,16,0.01,0.3,1000,4,0.001,91.18,2.52
cora,16,0.03,0.3,1000,4,0.001,85.84,1.45
citeseer,16,0.001,0.3,1000,4,0.001,77.12,1.36
cornell,16,0.01,0.3,1000,4,0.001,82.97,1.73
cora,16,0.03,0.4,1000,4,0.0005,86.02,1.46
citeseer,16,0.001,0.4,1000,4,0.0005,76.94,1.35
texas,16,0.01,0.4,1000,4,0.0005,76.22,7.23
wisconsin,16,0.01,0.4,1000,4,0.0005,89.22,3.31
cornell,16,0.01,0.4,1000,4,0.0005,78.92,4.32
cora,16,0.03,0.4,1000,4,0.001,85.77,1.55
citeseer,16,0.001,0.4,1000,4,0.001,76.97,1.41
texas,16,0.01,0.4,1000,4,0.001,79.19,6.4
wisconsin,16,0.01,0.4,1000,4,0.001,90.39,3.45
texas,64,0.01,0.35,1000,4,0.0005,87.3,3.83
